        days	      Tracer	          Fe	
 2.3500e+000	 1.0000e+000	 8.8012e-002	
 2.4500e+000	 1.0000e+000	 1.1729e-001	
 2.5500e+000	 1.0000e+000	 1.5265e-001	
 2.6500e+000	 1.0000e+000	 1.9453e-001	
 2.7500e+000	 1.0000e+000	 2.4331e-001	
 2.8500e+000	 1.0000e+000	 2.9925e-001	
 2.9500e+000	 1.0000e+000	 3.6251e-001	
 3.0500e+000	 1.0000e+000	 4.3314e-001	
 5.0000e-002	 0.0000e+000	 0.0000e+000	
 5.0000e-002	 1.0000e+000	 4.3314e-001	
 1.5000e-001	 1.0000e-001	 1.2388e-015	
 2.5000e-001	 1.0001e-002	 1.1077e-015	
 3.5000e-001	 1.0001e-003	 1.0914e-015	
 4.5000e-001	 1.0001e-004	 1.0888e-015	
 5.5000e-001	 1.0001e-005	 1.0883e-015	
 6.5000e-001	 1.0002e-006	 1.0882e-015	
 7.5000e-001	 1.0002e-007	 1.0882e-015	
 8.5000e-001	 1.0002e-008	 1.0882e-015	
 9.5000e-001	 1.0002e-009	 1.0882e-015	
 1.0500e+000	 1.0003e-010	 1.0882e-015	
 5.0000e-002	 1.0003e-010	 1.0882e-015	
 1.5000e-001	 3.7008e-008	 1.0882e-015	
 2.5000e-001	 2.2736e-006	 1.0882e-015	
 3.5000e-001	 5.5031e-005	 1.0888e-015	
 4.5000e-001	 6.9515e-004	 1.0944e-015	
 5.5000e-001	 5.2705e-003	 1.1381e-015	
 6.5000e-001	 2.6073e-002	 1.3648e-015	
 7.5000e-001	 8.9133e-002	 2.0970e-015	
 8.5000e-001	 2.2068e-001	 3.4713e-015	
 9.5000e-001	 4.1445e-001	 4.7084e-015	
 1.0500e+000	 6.2203e-001	 5.4442e-015	
 1.1500e+000	 7.9042e-001	 6.3452e-015	
 1.2500e+000	 8.9896e-001	 8.3553e-015	
 1.3500e+000	 9.5697e-001	 1.3785e-014	
 1.4500e+000	 9.8356e-001	 2.0172e-004	
 1.5500e+000	 9.9429e-001	 7.9626e-004	
 1.6500e+000	 9.9818e-001	 2.0358e-003	
 1.7500e+000	 9.9946e-001	 4.2496e-003	
 1.8500e+000	 9.9985e-001	 7.8428e-003	
 1.9500e+000	 9.9996e-001	 1.3290e-002	
 2.0500e+000	 9.9999e-001	 2.1122e-002	
 2.1500e+000	 1.0000e+000	 3.1916e-002	
 2.2500e+000	 1.0000e+000	 4.6269e-002	
 2.3500e+000	 1.0000e+000	 6.4789e-002	
 2.4500e+000	 1.0000e+000	 8.8067e-002	
 2.5500e+000	 1.0000e+000	 1.1666e-001	
 2.6500e+000	 1.0000e+000	 1.5107e-001	
 2.7500e+000	 1.0000e+000	 1.9174e-001	
 2.8500e+000	 1.0000e+000	 2.3902e-001	
 2.9500e+000	 1.0000e+000	 2.9316e-001	
 3.0500e+000	 1.0000e+000	 3.5434e-001	
